te,en,hi,_te_TG
"గిరి, శర్మ కూడా మనతో వస్తున్నారు.",Giri and Sharma are also coming with us.,गिरी और शर्मा भी हमारे साथ आ रहे हैं।,"గిరి, శర్మ కూడా మనతో వస్తున్నారు."
నువ్వీ కట్ట తీసుకో!,You take this bundle!,तुम यह ढेर लो।,నువ్వీ కట్ట తీసుకో!
గిరీ ఇది నువ్వు తీసుకో!,"Giri, you take this!","गिरी, यह तुम लो!",గిరీ ఇది నువ్వు తీసుకో!
ఇది శర్మ కు ఇవ్వు!,Give this to Sharma!,यह शर्मा को दो!,ఇది శర్మ కు ఇవ్వు!
,,,
గోపి:,Gopi:,गोपी:,గోపి:
బాలూ!,Baalu!,बालु!,బాలూ!
ఎందుకు కుంటుతున్నావు?,Why are you limping?,क्यों लंगड़ा रहे हो?,ఎందుకు కుంటుతున్నావు?
,,,
బాలు:,Baalu:,बालु:,బాలు:
నా కాలు నెప్పిగా ఉంది.,My leg is hurting.,मेरी टांग दुख रही है।,నా కాలు నెప్పిగా ఉంది.
నువ్వు ముందు వెళ్లకు.,Don't go ahead of me (walk fast).,तुम आगे मत जाओ।,నువ్వు ముందు వెళ్లకు.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
అయితే నా చెయ్యి పట్టుకో.,Then hold my hand.,तो मेरा हाथ पकड़ो।,అయితే నా చెయ్యి పట్టుకో.
,,,
బాలు:,Baalu:,बालु:,బాలు:
నీ చేతిలో పుస్తకాలున్నాయి కదా!,"You have books in your hand, right?","तुम्हारे हाथ में किताबें हैं, नहीं?",నీ చేతిలో పుస్తకాలున్నాయి కదా!
,,,
గోపి:,Gopi:,गोपी:,గోపి:
పరవాలేదు.,It's alright.,कोई बात नहीं।,పరవాలేదు.
రెండు చేతులలో లేవు గదా!,"I don't have them in both hands, right?",दोनों हाथों में थोड़ी ना हैं!,రెండు చేతులలో లేవు గదా!
,,,
బాలు:,Baalu:,बालु:,బాలు:
ఎందుకు నీ ఎడమకంటికి నీళ్లు వస్తున్నాయి?,Why is your left eye watering?,तुम्हारी बाईं आँख से पानी क्यों आ रहा है?,ఎందుకు నీ ఎడమకంటికి నీళ్లు వస్తున్నాయి?
కళ్ళు ఎర్రగా ఉన్నాయి గూడా!,Eyes are red too.,आँखें लाल भी हैं।,కళ్ళు ఎర్రగా ఉన్నాయి గూడా!
,,,
గోపి:,Gopi:,गोपी:,గోపి:
రెండు కళ్ళూ ఎర్రగా ఉన్నాయా?,Are both eyes red?,दोनों आँखें लाल हैं क्या?,రెండు కళ్ళూ ఎర్రగా ఉన్నాయా?
,,,
బాలు:,Baalu:,बालु:,బాలు:
ఎడమ కన్ను బాగా ఎర్రగా ఉంది.,Left eye is very red.,बाईं आँख अच्छे से लाल है।,ఎడమ కన్ను బాగా ఎర్రగా ఉంది.
కుడికన్ను కొంచెం ఎర్రగా ఉంది.,Right eye is a little red.,दाहिनी आँख थोड़ी लाल है।,కుడికన్ను కొంచెం ఎర్రగా ఉంది.
,,,
గోపి:,Gopi:,गोपी:,గోపి:
ఎడమ కంట్లో ఏదో ఉంది.,There is something in my left eye.,बाईं आँख में कुछ है।,ఎడమ కంట్లో ఏదో ఉంది.
అందుకే కన్ను నొప్పిగా ఉంది.,That's why my eye hurts.,इसी लिए आँख दुख रही है।,అందుకే కన్ను నొప్పిగా ఉంది.
,,,
బాలు:,Baalu:,बालु:,బాలు:
గాలి విపరీతంగా ఉంది.,The wind is extreme (fast).,हवा ज़ोर से चल रही है।,గాలి విపరీతంగా ఉంది.
కళ్ళల్లో దుమ్ము పడుతోంది.,The dust is getting into the eyes.,आँखों में धूल गिर रही है।,కళ్ళల్లో దుమ్ము పడుతోంది.
కళ్ళజోడు పెట్టుకో!,Put on the spectacles.,चश्मा लगाओ!,కళ్ళజోడు పెట్టుకో!
,,,
గోపి:,Gopi:,गोपी:,గోపి:
జాగ్రత్త!,Careful!,ध्यान से!,జాగ్రత్త!
నీ జేబుకు చిల్లి ఉంది.,Your pocket has a hole.,तुम्हारी जेब में छेद है।,నీ జేబుకు చిల్లి ఉంది.
డబ్బులు కింద పడుతున్నాయి.,Money is falling (dropping) down.,पैसे नीचे गिर रहे हैं।,డబ్బులు కింద పడుతున్నాయి.
,,,
బాలు:,Baalu:,बालु:,బాలు:
ఇదేమిటి?,What is this?,यह क्या?,ఇదేమిటి?
ఈ దోవలో ఇన్ని ముళ్ళు ఉన్నాయి?,"In this route, there are so many thorns?",इस रास्ते में इतने काँटे हैं?,ఈ దోవలో ఇన్ని ముళ్ళు ఉన్నాయి?
ఈ ముల్లు చూడు.,Look at this thorn.,इस काँटे को देखो।,ఈ ముల్లు చూడు.
ఎంత పెద్దదో!,How big!,कितना बड़ा है!,ఎంత పెద్దదో!
,,,
రవి:,Ravi:,रवि:,రవి:
అవును!,Yes!,हाँ!,అవును!
జాగ్రత్తగా రా!,Come carefully!,ध्यान से आओ!,జాగ్రత్తగా రా!
ఎండ గూడా తీవ్రంగా ఉంది.,The sunlight is also very hot.,धूप भी बहुत तेज़ है।,ఎండ గూడా తీవ్రంగా ఉంది.
కాళ్ళు కాలుతున్నాయి.,Feet are burning.,पैर जल रहे हैं।,కాళ్ళు కాలుతున్నాయి.
,,,
బాలు:,Baalu:,बालु:,బాలు:
"గిరి, శర్మ గూడా వస్తున్నారా?",Are Giri and Sharma also coming?,गिरी और शर्मा भी आ रहे हैं क्या?,"గిరి, శర్మ గూడా వస్తున్నారా?"
,,,
రవి:,Ravi:,रवि:,రవి:
ఆ!,Yes!,हाँ।,ఆ!
వాళ్ళు మనవెనక వస్తున్నారు.,They are coming behind us.,वे हमारे पीछे आ रहे हैं।,వాళ్ళు మనవెనక వస్తున్నారు.
వాళ్ళ దగ్గర ఎక్కువ పుస్తకాలున్నాయి.,They have more books.,उनके पास ज़्यादा किताबें हैं।,వాళ్ళ దగ్గర ఎక్కువ పుస్తకాలున్నాయి.
,,,
బాలు:,Baalu:,बालु:,బాలు:
"అవును, మన దగ్గర అన్ని పుస్తకాలు లేవు.","Yes, we don't have as many books.","हाँ, हमारे पास उतनी किताबें नहीं हैं।","అవును, మన దగ్గర అన్ని పుస్తకాలు లేవు."
మన సంచీ బరువు తక్కువ.,Our bag is less heavy.,हमारा थैला का वज़न कम है।,మన సంచీ బరువు తక్కువ.
,,,
<h2>,,,<h2>
కొత్త పదాలు,New words,नए शब्द,కొత్త పదాలు
,,,
<ol>,,,<ol>
పండు ,fruit,फल,పండు 
అందులో ,in that,उस में,అందులో 
ఖాళీ ,empty,खाली,ఖాళీ 
బైట ,outside,बाहर,బైట 
బ్లేడు ,blade,ब्लेड,బ్లేడు 
కత్తి ,knife,चाकू,కత్తి 
పదును ,sharpness,,పదును 
లోపల ,inside,अंदर,లోపల 
కొట్టు ,to hit; to knock; to beat ,मारो / खड़काओ,కొట్టు 
ఎదురుచూడు ,await; look for,इंतज़ार करो / राह देखो,ఎదురుచూడు 
ఇందులో ,in this,इस में,ఇందులో 
-సారి ,time (as in first time of two times etc),बार,-సారి 
ఎందులో ,in what,किस में,ఎందులో 
చప్పుడు ,"noise, sound (n)",शोर,చప్పుడు 
నెట్టు ,to push (v.t),धकेलो,నెట్టు 
కట్ట ,a bundle (n),ढेर,కట్ట 
కుంటు ,to limp (v),लंगड़ाओ,కుంటు 
చెయ్యి ,a hand (n),हाथ (एकवचन),చెయ్యి 
చేతి -,oblique base of చెయ్యి ,हाथ का,చేతి -
చేతులు ,hands (pl.form of చెయ్యి),हाथ (बहुवचन),చేతులు 
ఎడమ ,left (adj.),बाएँ,ఎడమ 
కంటి ,oblique base of కన్ను ,आँख का,కంటి 
కళ్ళు ,eyes - plural form of కన్ను ,आँखें,కళ్ళు 
కన్ను ,eye,आँख,కన్ను 
కుడి ,right hand side (adj),दाएँ,కుడి 
కంట్లో ,in the eye (locative form of కన్ను),आँख में,కంట్లో 
విపరీతంగా ,severely; abundantly,ज़ोर से,విపరీతంగా 
-ల్లో ,a variant of locative case suffix లో ,में,-ల్లో 
