te,en,hi
అవి మొత్తం ఎన్ని కలాలు.,How many pens are they in total?,वे कुल कितनी कलम हैं?
,,
సరళ:,Sarala:,सरला:
అవి మొత్తం ఐదు కలాలు.,They are five pens in total.,वे कुल पाँच कलम हैं।
,,
విజయ:,Vijaya:,विजया:
అవి ఏమిటి?,What are those?,वे क्या हैं?
,,
సరళ:,Sarala:,सरला:
అవి పుస్తకాలు.,Those are books.,वे किताबें हैं।
,,
విజయ:,Vijaya:,विजया:
ఆ పుస్తకాలు బల్ల మీద ఉన్నాయా?,Are those books are on the table?,वे किताबें टेबल पर हैं क्या?
,,
సరళ:,Sarala:,सरला:
ఆ పుస్తకాలు అన్నీ బల్ల మీద లేవు.,All those books are not on the table.,वे सारी किताबें टेबल पर नहीं हैं।
"కొన్ని బల్ల మీద ఉన్నాయి, కొన్ని బల్ల కింద ఉన్నాయి.","Some are on the table, and some are under the table.","कुछ टेबल पर हैं, कुछ टेबल के नीचे हैं।"
,,
విజయ:,Vijaya:,विजया:
ఆ పుస్తకాలు లెక్కపెట్టు.,Count those books.,वे किताबें गिनो।
,,
సరళ:,Sarala:,सरला:
"ఒకటి, రెండు, మూడు, నాలుగు, ఐదు, ఆరు, ఏడు, ఎనిమిది, తొమ్మిది, పది, పదకొండు, పన్నెండు, పదమూడు, పద్నాలుగు, పదిహేను.","One, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen.","एक, दो, तीन, चार, पाँच, छे, सात, आठ, नौ, दस, ग्यारह, बारह, तेरह, चौदह, पंद्रह।"
ఇవి మొత్తం పదిహేను పుస్తకాలు.,These are fifteen books.,वे कुल पंद्रह किताबें हैं।
,,
విజయ:,Vijaya:,विजया:
నీ కలం పుస్తకం మీద ఉందా?,Is your pen on the book?,तुम्हारी कलम किताब पर है क्या?
,,
సరళ:,Sarala:,सरला:
నా కలం పుస్తకం మీద లేదు.,My pen is not on the book.,मेरी कलम किताब पर नहीं है।
పుస్తకం పక్కన ఉంది.,It is by the side of the book.,किताब के बग़ल में है।
,,
విజయ:,Vijaya:,विजया:
ఈ పుస్తకాలు ఎన్ని?,How many are these books?,ये किताबें कितनी हैं?
ఆ పుస్తకాలు ఎన్ని?,How many are those books?,वे किताबें कितनी हैं?
,,
సరళ:,Sarala:,सरला:
ఇవి రెండు.,These are two.,ये दो हैं।
అవి మూడు.,Those are three.,वो तीन हैं।
,,
విజయ:,Vijaya:,विजया:
మొత్తం ఎన్ని?,How many are in total?,कुल कितनी?
,,
సరళ:,Sarala:,सरला:
ఐదు.,Five.,पाँच।
,,
<h2>,,
కొత్త పదాలు,New words,नए शब्द
,,
<ol>,,
మొత్తం,total,कुल
ఇవి,these (pro.),ये (नपुंसक सर्वनाम)
ఈ,this; these (dem. adj.),ये (नपुंसक विशेषण)
లో,locative case marker 'in',में
రెండు,two,दो
ఒక,one (adj.),एक (विशेषण)
మూడు,three,तीन
ఎక్కడ,where,कहाँ
ఉన్నాయి,they (neut.) are/were,हैं (नपुंसक)
అవి,those (pro.),वे (नपुंसक सर्वनाम)
ఆ,that; those,वे (नपुंसक विशेषण)
దగ్గర,at / near,के पास
ఏవి,which (pl. pro),कौनसे
చూడు,"see, look",देखो
నాలుగు,four,चार
పెట్టె,box,डब्बा
మీద,on; upon,पर
పదమూడు,thirteen,तेरह
పద్నాలుగు,fourteen,चौदह
పదిహేను,fifteen,पंद्रह
ఎన్ని,how many,कितने
ఇంకొక,one more,और एक
ఏ,which,किस (विशेषण)
ఐదు,five,पाँच
అన్నీ,all of them,वे सब (नपुंसक)
లేవు,neg. of ఉన్నాయి (unnayi),नहीं हैं
కొన్ని,some of them (neut.),कुछ
కింద,under; below; beneath,के नीचे
లెక్కపెట్టు,count,गिनो
ఒకటి,one (pro.),एक (सर्वनाम)
ఆరు,six,छे
ఏడు,seven,सात
ఎనిమిది,eight,आठ
తొమ్మిది,nine,नौ
పది,ten,दस
పదకొండు,eleven,ग्यारह
పన్నెండు,twelve,बारह
ఉంది,It's here/It's there,है (नपुंसक)
లేదు,neg. of ఉంది (undi),नहीं है
పక్కన,by the side of,के बग़ल में
