te,en,_hi,_te_TG
వాళ్ళ నాన్నగారు రెండు రోజుల క్రితమే వాళ్ళిద్దరికీ చెరి ఒక వీణ కొని యిచ్చారు.,"Their father bought veenas for each of them, two days ago.",,వాళ్ళ నాన్నగారు రెండు రోజుల క్రితమే వాళ్ళిద్దరికీ చెరి ఒక వీణ కొని యిచ్చారు.
,,,
లత:,Latha:,,లత:
అలాగా!,I see!,,అలాగా!
మరి నేను వెళ్ళి వస్తాను.,Then I will leave and come back (I shall go then).,,మరి నేను వెళ్ళి వస్తాను.
,,,
కమల:,Kamala:,,కమల:
సరే!,Okay!,,సరే!
,,,
**************,,,**************
,,,
సుబ్బారావు:,SubbaRao:,,సుబ్బారావు:
శర్మగారూ!,Mr. Sharma!,,శర్మగారూ!
ఈ వీథిలో మా అమ్మాయి వాళ్ళ ఇల్లుంది. ,My daughter's house is in this street.,,ఈ వీథిలో మా అమ్మాయి వాళ్ళ ఇల్లుంది. 
మా అల్లుడు రేపు ఢిల్లీ వెళ్తున్నాడు.,My son-in-law is going to Delhi tomorrow.,,మా అల్లుడు రేపు ఢిల్లీ వెళ్తున్నాడు.
అతనితో మా అబ్బాయి గూడా వెళ్తున్నాడు.,My son is also going with him.,,అతనితో మా అబ్బాయి గూడా వెళ్తున్నాడు.
ఇంటి దగ్గర ఎన్ని గంటలకు బయల్దేర్తాడో కనుక్కుని వద్దాం. ,Let's find out at what time he is leaving home.,,ఇంటి దగ్గర ఎన్ని గంటలకు బయల్దేర్తాడో కనుక్కుని వద్దాం. 
రాండి. ,Let's go.,,రాండి. 
,,,
శర్మ:,Sharma:,,శర్మ:
మీరు వెళ్ళిరండి.,You go and come.,,మీరు వెళ్ళిరండి.
నేను మెల్లగా వెళ్తూ వుంటాను.,I will be going slowly.,,నేను మెల్లగా వెళ్తూ వుంటాను.
ఇటువైపు వెళ్ళవచ్చా?,May I go this way?,,ఇటువైపు వెళ్ళవచ్చా?
,,,
సుబ్బారావు:,SubbaRao:,,సుబ్బారావు:
అటు వెళ్ళకూడదు.,You should not go that side.,,అటు వెళ్ళకూడదు.
అది వన్ వే ట్రాఫిక్.,That is one way traffic.,,అది వన్ వే ట్రాఫిక్.
,,,
శర్మ:,Sharma:,,శర్మ:
అలాగా!,I see!,,అలాగా!
,,,
సుబ్బారావు:,SubbaRao:,,సుబ్బారావు:
అందుకే చెప్తున్నాను.,That's why I am telling you.,,అందుకే చెప్తున్నాను.
ఇద్దరం కలిసి వెళ్దాంరండి.,"Let the both of us go together, come on.",,ఇద్దరం కలిసి వెళ్దాంరండి.
,,,
శర్మ:,Sharma:,,శర్మ:
నా చెప్పులు తెగాయి.,My chappals are torn.,,నా చెప్పులు తెగాయి.
ఇంతలో వాటిని కుట్టటానికి యిక్కడ యిస్తాను.,"In the meantime, I shall give them for mending here.",,ఇంతలో వాటిని కుట్టటానికి యిక్కడ యిస్తాను.
మీరు చూసి రండి.,You go and see and come.,,మీరు చూసి రండి.
ఎక్కువ ఆలస్యం చెయ్యవద్దు.,Don't delay too much.,,ఎక్కువ ఆలస్యం చెయ్యవద్దు.
,,,
సుబ్బారావు:,SubbaRao:,,సుబ్బారావు:
పదండి.,Come on.,,పదండి.
ముందు మీ పని అయిన తర్వాత ఇద్దరం కలిసే వెళ్దాం.,Let both of us go together after attending your work.,,ముందు మీ పని అయిన తర్వాత ఇద్దరం కలిసే వెళ్దాం.
,,,
శర్మ:,Sharma:,,శర్మ:
ఢిల్లీకి ఇద్దరూ ఒకే పని మీద వెళ్తున్నారా?,Are they both going to Delhi on the same work?,,ఢిల్లీకి ఇద్దరూ ఒకే పని మీద వెళ్తున్నారా?
,,,
సుబ్బారావు:,SubbaRao:,,సుబ్బారావు:
లేదు.,No.,,లేదు.
అల్లుడి పని వేరు మా అబ్బాయి పని వేరు.,"Son-in-law's work is different, my son's work is different.",,అల్లుడి పని వేరు మా అబ్బాయి పని వేరు.
ఇదుగో ఇదే ఇల్లు.,This is the house.,,ఇదుగో ఇదే ఇల్లు.
అమ్మా!,Amma!,,అమ్మా!
లతా!,Latha!,,లతా!
మీ ఆయన ప్రయాణం ఎన్ని గంటలకు?,At what time is your husband travelling (leaving)?,,మీ ఆయన ప్రయాణం ఎన్ని గంటలకు?
,,,
లత:,Latha:,,లత:
రైలు రాత్రి 8: 30కు నాన్నగారూ! ,"Train is at 8.30 in the night (8.30 pm), father!",,రైలు రాత్రి 8: 30కు నాన్నగారూ! 
ఇంటి దగ్గర ఏడింటికి బయల్దేర్తారు అనుకుంటున్నాను.,"From home, he is planning on leaving at 7.00 pm.",,ఇంటి దగ్గర ఏడింటికి బయల్దేర్తారు అనుకుంటున్నాను.
తమ్ముణ్ణి ఇక్కడికే రమ్మనండి.,Ask younger brother to come here itself.,,తమ్ముణ్ణి ఇక్కడికే రమ్మనండి.
ఇద్దరూ కలిసే వెళ్తారు.,Both of them will go together.,,ఇద్దరూ కలిసే వెళ్తారు.
,,,
<h2>,,,<h2>
కొత్త పదాలు,New words,नए शब्द,
,,,
<ol>,,,<ol>
పాటకచేరి ,music concert,,పాటకచేరి 
ఇష్టం ,"like, willingness",,ఇష్టం 
శాస్త్రీయ సంగీతం,classical music,,శాస్త్రీయ సంగీతం
లలిత సంగీతం ,light music,,లలిత సంగీతం 
వాయించు ,play a musical instrument (v),,వాయించు 
చెరి ,each,,చెరి 
తెగు ,to cut (v. intr),,తెగు 
కుట్టు,stitch (v),,కుట్టు
వేరు ,different,,వేరు 
